@relation credits30

@attribute AccDur numeric
@attribute Target {radio-tv,education,furniture,new-car,used-car,business,domestic-app,repairs,others,retraining}
@attribute Amount numeric
@attribute EmpTime {over-seven,seven-years,four-years,unemployed,one-year}
@attribute SexStatus {single-male,male-divorced,married-male,female-divorced}
@attribute ResTime numeric
@attribute Age numeric
@attribute Credits numeric
@attribute Work {skilled,unskilled-resident,management,unemployed-non-resident}
@attribute Persons numeric
@attribute Dec {good,bad}

@data
48,radio-tv,5951,four-years,female-divorced,2,22,1,skilled,1,bad
36,education,9055,four-years,single-male,4,35,1,unskilled-resident,2,good
48,business,4308,one-year,female-divorced,4,24,1,skilled,1,bad
12,radio-tv,1567,four-years,female-divorced,1,22,1,skilled,1,good
24,new-car,1199,over-seven,single-male,4,60,2,unskilled-resident,1,bad
15,new-car,1403,four-years,female-divorced,4,28,1,skilled,1,good
24,radio-tv,1282,four-years,female-divorced,2,32,1,unskilled-resident,1,bad
12,radio-tv,409,four-years,female-divorced,3,42,2,skilled,1,good
12,business,1264,over-seven,single-male,4,57,1,unskilled-resident,1,good
45,radio-tv,4746,one-year,single-male,2,25,2,unskilled-resident,1,bad
12,radio-tv,1158,four-years,male-divorced,1,26,1,skilled,1,good
11,new-car,1393,one-year,female-divorced,4,35,2,management,1,good
36,radio-tv,2299,over-seven,single-male,4,39,1,skilled,1,good
6,used-car,1352,unemployed,female-divorced,2,23,1,unemployed-non-resident,1,good
12,radio-tv,1262,four-years,single-male,2,25,1,skilled,1,good
18,used-car,3378,four-years,single-male,1,31,1,skilled,1,good
36,new-car,2225,over-seven,single-male,4,57,2,skilled,1,bad
18,new-car,1961,over-seven,female-divorced,2,23,1,management,1,good
9,business,1391,four-years,married-male,1,27,1,skilled,1,good
48,business,14421,four-years,single-male,2,25,1,skilled,1,bad
36,education,1977,over-seven,single-male,4,40,1,management,1,bad
15,radio-tv,1213,over-seven,single-male,3,47,1,skilled,1,good
24,others,1755,over-seven,female-divorced,4,58,1,unskilled-resident,1,good
12,business,1412,four-years,female-divorced,2,29,2,management,1,good
